"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"Identity","AccountingController","UpdateTaxCode","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ToggleTaxCode","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VatReturns","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","FileVatReturn","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VatReturnDetail","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SettleVatReturn","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EtaStatus","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","IncomeStatement","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","BalanceSheet","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CashFlow","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","YearEndClose","GET","False","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CloseYear","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ReopenYear","POST","True","True","False","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","AccountingRoles","GET","False","False","False","AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","AssignAccRole","POST","True","True","False","AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SaveAccSettings","POST","True","True","False","AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","RemoveAccRole","POST","True","True","False","AccPerm(""manage"")","SessionValidation","False","CrossBuy/Controllers/AccountingController.cs"
"HR","AdminController","Appraisals","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SaveAppraisalCycle","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SetAppraisalCycleStatus","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","AppraisalTemplates","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","AppraisalTemplateEditor","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SaveAppraisalTemplate","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","DeleteAppraisalTemplate","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","CreateAppraisal","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","AppraisalScore","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","SaveAppraisalScores","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.Appraisals.cs"
"HR","AdminController","HolidaysList","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveHoliday","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteHoliday","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","Attendance","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AttendanceEntry","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveAttendance","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","FinalSettlement","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","PostFinalSettlement","POST","True","True","False","(none)","(none)","True","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","HrDocuments","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","HrDocFiles","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AddAttachments","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteAttachment","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveContract","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteContract","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveDocument","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DeleteDocument","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","DocExpiryAlerts","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","NotifyExpiring","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","LeaveAccrual","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","Encash","POST","True","True","False","(none)","(none)","True","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","LeaveCarryOver","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","RunLeaveCarryOver","POST","True","True","False","(none)","(none)","True","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","PostLeaveProvision","POST","True","True","False","(none)","(none)","True","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveLeaveTypeEncashable","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","Index","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","JobTitlesList","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetJobTitles","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetBranches","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetCompanies","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","JobTitle","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","JobTitle","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AdministrativeBodiesCompanyList","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AdministrativeBodiesCompany","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AdministrativeBodiesCompany","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AdministrativeStructure","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetHierarchicals","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetParentInfo","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","AddHierarchicalItem","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","Polices","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetLeaveTypes","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveLeavePolicy","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","PolicesData","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","LeaveTypesList","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveLeaveType","POST","True","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetLeaveTypeById","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetSalaryPolicy","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveSalaryPolicy","POST","True","True","False","CrossBuy.Models.ApiPerm(CrossBuy.Models.ApiPermAttribute.Hr, CrossBuy.BL.HrActions.PayrollManage)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveMainPolices","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","SaveAttendancePolicy","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetPolicy","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","EmployeesList","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","EmployeeData","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
"HR","AdminController","GetPolicies","GET","False","False","False","(none)","(none)","False","CrossBuy/Controllers/AdminController.cs"
