"module","controller","action","http_method","route_attribute","is_api","mutating","antiforgery","permission_attributes","inherited_permission","in_body_authorization","action_attributes","uses_scopedtx","uses_notify","uses_businessevent","file"
"Identity","AccountingController","CreateBankAccount","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CashBoxes","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateCashBox","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Transfer","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DoTransfer","POST","","False","True","True","CrossBuy.Models.AccPerm(""pay"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""pay"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Reconcile","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DoReconcile","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Reconciliations","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","Ledger","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","FixedAssets","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
