"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"Communication","FileManagerController","Upload","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/FileManagerController.cs"
"Other","HyperPosController","Start","POST","True","True","False","(none)","CrossBuy.Models.PosLaneActivityGuard(""HyperCtx"", ""hyper"", ""/hyper/pos/login"")","False","CrossBuy/Controllers/HyperPosController.cs"
"Other","HyperPosController","PriceCheck","POST","True","True","False","(none)","CrossBuy.Models.PosLaneActivityGuard(""HyperCtx"", ""hyper"", ""/hyper/pos/login"")","False","CrossBuy/Controllers/HyperPosController.cs"
"Inventory","InventoryController","WarehouseQuickAdd","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/InventoryController.cs"
"Communication","NotificationsController","ToggleMute","POST","True","False","False","(none)","SessionValidation","False","CrossBuy/Controllers/NotificationsController.cs"
"HR","PeopleController","CreateLeave","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/PeopleController.cs"
"HR","PeopleController","DecideLeave","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/PeopleController.cs"
"HR","PeopleController","CreateRequest","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/PeopleController.cs"
"HR","PeopleController","DecideRequest","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/PeopleController.cs"
"HR","PeopleController","AcknowledgeAppraisal","POST","True","True","False","(none)","(none)","False","CrossBuy/Controllers/PeopleController.cs"
"POS","PosAppController","Start","POST","True","True","False","(none)","CrossBuy.Models.PosLaneActivityGuard(""PosCtx"", ""restaurant"", ""/pos/login"")","False","CrossBuy/Controllers/PosAppController.cs"
"POS","PosAppController","AddCustomer","POST","True","True","False","(none)","CrossBuy.Models.PosLaneActivityGuard(""PosCtx"", ""restaurant"", ""/pos/login"")","False","CrossBuy/Controllers/PosAppController.cs"
"POS","PosController","ApplyPreset","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveCapabilities","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SavePosSetting","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveDiningArea","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteDiningArea","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveStation","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteStation","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveDriver","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteDriver","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveDeliveryZone","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteDeliveryZone","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveItemSourcing","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","AckSyncConflict","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","PrepareFinished","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","PrepareSemi","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveReservation","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SetReservationStatus","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","CustomerQuickAdd","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveTable","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveLayout","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
