domain,entity,module,namespace,file,base,primary_key,company_field,branch_field,status_field,has_createdat,has_createdby,has_updatedat,soft_delete,polymorphic,property_count
Accounting,Project,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Dimensions.cs,,ID,CompanyID,,Status,True,False,False,False,False,18
Accounting,ProjectActivityType,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Dimensions.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,7
Accounting,ProjectMaterialIssue,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ProjectMaterialIssue.cs,,ID,CompanyID,,Status,True,True,False,False,False,13
Accounting,ProjectMaterialIssueLine,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ProjectMaterialIssue.cs,,ID,,,,False,False,False,False,False,9
Accounting,ProjectProgress,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ProjectProgress.cs,,ID,CompanyID,,Status,True,True,False,False,False,12
Accounting,ProjectProgressLine,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ProjectProgress.cs,,ID,,,,False,False,False,False,False,7
Accounting,PurchaseInvoice,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,Status,True,False,False,False,False,19
Accounting,PurchaseInvoiceLine,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,,,,False,False,False,False,False,15
Accounting,PurchaseReturn,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,Status,True,False,False,False,False,20
Accounting,PurchaseReturnLine,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,,,,False,False,False,False,False,11
Accounting,Receipt,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,Status,True,False,False,False,False,15
Accounting,ReceiptAllocation,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/FxAllocations.cs,,ID,CompanyID,,,True,False,False,False,False,10
Accounting,SalesInvoice,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,Status,True,False,False,False,False,21
Accounting,SalesInvoiceLine,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,,,,False,False,False,False,False,16
