module,cls,interface,di_lifetime,file,implements,is_background_worker,uses_dbcontext,uses_scopedtx,scopedtx_sites,uses_notify,uses_businessevent,uses_httpcontext,lines
Platform,DispatchWorkItem,,(not registered),CrossBuy/BL/Platform/IEventDispatchStore.cs,,False,False,False,0,False,False,False,64
Platform,EntityCodeNotRegisteredException,InvalidOperationException,(not registered),CrossBuy/BL/Platform/IEntityRegistry.cs,InvalidOperationException,False,False,False,0,False,False,False,51
Platform,EntityRegistry,IEntityRegistry,Scoped,CrossBuy/BL/Platform/EntityRegistry.cs,IEntityRegistry,False,True,False,0,False,False,False,345
Platform,InventoryPermissionAdapter,IModulePermissionAdapter,Scoped,CrossBuy/BL/Platform/PlatformPermissionProvider.cs,IModulePermissionAdapter,False,False,False,0,False,False,False,242
Platform,ManufWorkOrderEvents,,(not registered),CrossBuy/BL/Platform/BusinessEventTypes.cs,,False,False,False,0,False,False,False,147
Platform,ManufWorkOrderLegacyTimelineAdapter,ILegacyTimelineAdapter,Scoped,CrossBuy/BL/Platform/ManufWorkOrderLegacyTimelineAdapter.cs,ILegacyTimelineAdapter,False,True,False,0,False,False,False,130
Platform,ManufacturingPermissionAdapter,IModulePermissionAdapter,Scoped,CrossBuy/BL/Platform/PlatformPermissionProvider.cs,IModulePermissionAdapter,False,False,False,0,False,False,False,242
Platform,NotificationProjectionConsumer,IBusinessEventConsumer,Scoped,CrossBuy/BL/Platform/NotificationProjectionConsumer.cs,IBusinessEventConsumer,False,True,False,0,True,False,False,193
Platform,PlatformPermissionProvider,IPlatformPermissionProvider,Scoped,CrossBuy/BL/Platform/PlatformPermissionProvider.cs,IPlatformPermissionProvider,False,False,False,0,False,False,False,242
Platform,PosPermissionAdapter,IModulePermissionAdapter,Scoped,CrossBuy/BL/Platform/PlatformPermissionProvider.cs,IModulePermissionAdapter,False,False,False,0,False,False,False,242
Platform,Presentation,,(not registered),CrossBuy/BL/Platform/TimelineEventPresenter.cs,,False,False,False,0,False,False,False,369
Platform,PurchaseInvoiceEvents,,(not registered),CrossBuy/BL/Platform/BusinessEventTypes.cs,,False,False,False,0,False,False,False,147
Platform,PurchaseInvoiceLegacyTimelineAdapter,ILegacyTimelineAdapter,Scoped,CrossBuy/BL/Platform/PurchaseInvoiceLegacyTimelineAdapter.cs,ILegacyTimelineAdapter,False,True,False,0,False,False,False,85
Platform,SalesInvoiceEvents,,(not registered),CrossBuy/BL/Platform/BusinessEventTypes.cs,,False,False,False,0,False,False,False,147
Platform,SalesInvoiceLegacyTimelineAdapter,ILegacyTimelineAdapter,Scoped,CrossBuy/BL/Platform/SalesInvoiceLegacyTimelineAdapter.cs,ILegacyTimelineAdapter,False,True,False,0,False,False,False,121
Platform,SqlEventDispatchStore,IEventDispatchStore,Scoped,CrossBuy/BL/Platform/SqlEventDispatchStore.cs,IEventDispatchStore,False,True,False,0,False,False,False,239
Platform,TimelineEventPresenter,,(not registered),CrossBuy/BL/Platform/TimelineEventPresenter.cs,,False,False,False,0,False,False,False,369
Platform,TimelineProjectionConsumer,IBusinessEventConsumer,Scoped,CrossBuy/BL/Platform/TimelineProjectionConsumer.cs,IBusinessEventConsumer,False,False,False,0,False,False,False,61
Platform,TimelineProjectionService,ITimelineProjectionService,Scoped,CrossBuy/BL/Platform/TimelineProjectionService.cs,ITimelineProjectionService,False,True,False,0,False,False,False,221
Projects,BoqRowInput,,(not registered),CrossBuy/BL/BoqService.cs,,False,True,False,0,False,False,False,152
Projects,BoqService,IBoqService,Scoped,CrossBuy/BL/BoqService.cs,IBoqService,False,True,False,0,False,False,False,152
Projects,BoqSummary,,(not registered),CrossBuy/BL/BoqService.cs,,False,True,False,0,False,False,False,152
Projects,ProgressBillingService,IProgressBillingService,Scoped,CrossBuy/BL/ProgressBillingService.cs,IProgressBillingService,False,True,False,0,False,False,False,273
Projects,ProgressEditModel,,(not registered),CrossBuy/BL/ProgressService.cs,,False,True,False,0,False,False,False,292
Projects,ProgressLineView,,(not registered),CrossBuy/BL/ProgressService.cs,,False,True,False,0,False,False,False,292
Projects,ProgressRowInput,,(not registered),CrossBuy/BL/ProgressService.cs,,False,True,False,0,False,False,False,292
Projects,ProgressService,IProgressService,Scoped,CrossBuy/BL/ProgressService.cs,IProgressService,False,True,False,0,False,False,False,292
Projects,ProgressSummary,,(not registered),CrossBuy/BL/ProgressService.cs,,False,True,False,0,False,False,False,292
Projects,ProjectBudgetService,IProjectBudgetService,Scoped,CrossBuy/BL/ProjectBudgetService.cs,IProjectBudgetService,False,True,False,0,False,False,False,86
Projects,ProjectDashboardDto,,(not registered),CrossBuy/BL/ProjectDashboardDto.cs,,False,False,False,0,False,False,False,32
Projects,ProjectLaborRow,,(not registered),CrossBuy/BL/ProjectLaborService.cs,,False,True,False,0,False,False,False,112
Projects,ProjectLaborService,IProjectLaborService,Scoped,CrossBuy/BL/ProjectLaborService.cs,IProjectLaborService,False,True,False,0,False,False,False,112
Projects,ProjectMaterialIssueService,IProjectMaterialIssueService,Scoped,CrossBuy/BL/ProjectMaterialIssueService.cs,IProjectMaterialIssueService,False,True,False,0,False,False,False,125
Projects,ProjectPnlRow,,(not registered),CrossBuy/BL/ProjectService.cs,,False,True,False,0,False,False,False,143
Projects,ProjectService,IProjectService,Scoped,CrossBuy/BL/ProjectService.cs,IProjectService,False,True,False,0,False,False,False,143
Projects,SubcontractBillingService,ISubcontractBillingService,Scoped,CrossBuy/BL/SubcontractBillingService.cs,ISubcontractBillingService,False,True,False,0,False,False,False,186
Projects,VariationOrderService,IVariationOrderService,Scoped,CrossBuy/BL/VariationOrderService.cs,IVariationOrderService,False,True,False,0,False,False,False,165
Tasks,AutoTaskRow,,(not registered),CrossBuy/BL/TaskReportService.cs,,False,True,False,0,False,False,False,146
Tasks,OverdueTaskRow,,(not registered),CrossBuy/BL/TaskReportService.cs,,False,True,False,0,False,False,False,146
Tasks,TaskAutoRuleDto,,(not registered),CrossBuy/BL/TaskGeneratorService.cs,,False,True,False,0,False,False,False,143
Tasks,TaskBillingDto,,(not registered),CrossBuy/BL/TaskBillingService.cs,,False,True,False,0,False,False,False,84
Tasks,TaskBillingService,ITaskBillingService,Scoped,CrossBuy/BL/TaskBillingService.cs,ITaskBillingService,False,True,False,0,False,False,False,84
Tasks,TaskCostDto,,(not registered),CrossBuy/BL/TaskCostService.cs,,False,True,False,0,False,False,False,85
Tasks,TaskCostLineDto,,(not registered),CrossBuy/BL/TaskCostService.cs,,False,True,False,0,False,False,False,85
Tasks,TaskCostService,ITaskCostService,Scoped,CrossBuy/BL/TaskCostService.cs,ITaskCostService,False,True,False,0,False,False,False,85
Tasks,TaskGeneratorHostedService,,HostedService,CrossBuy/BL/TaskGeneratorHostedService.cs,BackgroundService,True,False,False,0,False,False,False,36
Tasks,TaskGeneratorService,ITaskGeneratorService,Scoped,CrossBuy/BL/TaskGeneratorService.cs,ITaskGeneratorService,False,True,False,0,False,False,False,143
Tasks,TaskKpiDto,,(not registered),CrossBuy/BL/TaskService.cs,,False,True,False,0,False,False,False,303
Tasks,TaskLinkDto,,(not registered),CrossBuy/BL/TaskLinkResolver.cs,,False,False,False,0,False,False,False,77
Tasks,TaskLinkOptionDto,,(not registered),CrossBuy/BL/TaskLinkResolver.cs,,False,False,False,0,False,False,False,77
Tasks,TaskLinkResolver,ITaskLinkResolver,Scoped,CrossBuy/BL/TaskLinkResolver.cs,ITaskLinkResolver,False,False,False,0,False,False,False,77
Tasks,TaskLinkTypeDto,,(not registered),CrossBuy/BL/TaskLinkResolver.cs,,False,False,False,0,False,False,False,77
Tasks,TaskReportService,ITaskReportService,Scoped,CrossBuy/BL/TaskReportService.cs,ITaskReportService,False,True,False,0,False,False,False,146
