path,file,kind,ext,bytes,sha256_12,reference_count,referenced_by
CrossBuy/wwwroot/Backend-assets/media/avatars/kuwaitLogo.png,kuwaitLogo.png,brand-mark,png,259510,7d59500ee8a8,0,
CrossBuy/wwwroot/Backend-assets/media/brand/crossbuy-logo-full.png,crossbuy-logo-full.png,brand-mark,png,563238,7aa2ed5e3897,0,
CrossBuy/wwwroot/Backend-assets/media/brand/crossbuy-logo-lockup.png,crossbuy-logo-lockup.png,brand-mark,png,482797,72842b879ec4,2,CrossBuy/Views/Account/Login.cshtml; CrossBuy/Views/Portal/Choose.cshtml
CrossBuy/wwwroot/Backend-assets/media/brand/crossbuy-logo-mark.png,crossbuy-logo-mark.png,brand-mark,png,85302,6780a2267b8a,0,
CrossBuy/wwwroot/Backend-assets/media/brand/crossbuy-logo.png,crossbuy-logo.png,brand-mark,png,97223,7993a6495686,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-accounting.png,icon-accounting.png,brand-mark,png,44589,de0aa753b3b0,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-crm.png,icon-crm.png,brand-mark,png,48274,7fecdcc56c7e,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-hr.png,icon-hr.png,brand-mark,png,59276,853dd0d1f00a,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-inventory.png,icon-inventory.png,brand-mark,png,52926,30fe24322b44,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-manufacturing.png,icon-manufacturing.png,brand-mark,png,44851,43b722ce5a9a,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-pos.png,icon-pos.png,brand-mark,png,68317,a34a2892d5fb,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-projects.png,icon-projects.png,brand-mark,png,44489,0a3c5e3a0e55,0,
CrossBuy/wwwroot/Backend-assets/media/brand/icon-reports.png,icon-reports.png,brand-mark,png,52901,f51e61e1a156,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-bullet.svg,icon-bullet.svg,brand-mark,svg,492,6d4cd83bfaaa,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-dribbble.svg,icon-dribbble.svg,brand-mark,svg,1809,09db8dbb5086,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-facebook.svg,icon-facebook.svg,brand-mark,svg,774,b38d735e03ae,0,
