screenshot_id,scenario,step,language,route,role,record_id,before_after,filename,viewport,capture_time,readiness_ok,readiness_checks_passed,countersSettled,noSpinners,expect_check,duplicate_group,privacy_treatment,evidence_reference,file_exists,sha256_12,bytes,page_title,heading,html_lang,direction
ACC-RPT-01_trial-balance,ACC-REPORTS,Do the books balance?,ar,/Accounting/TrialBalance,ChiefAccountant/admin,,result,ACC-RPT-01_trial-balance.ar.png,1600x1000,2026-09-21T08:49:02.525Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,16a4d3496716,125652,النظام المحاسبي - CrossBuy,ميزان المراجعة,ar,rtl
ACC-RPT-02_balance-sheet,ACC-REPORTS,What do we own and owe?,ar,/Accounting/BalanceSheet,ChiefAccountant/admin,,result,ACC-RPT-02_balance-sheet.ar.png,1600x1000,2026-09-21T08:49:06.882Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,f5c875f0158b,155262,النظام المحاسبي - CrossBuy,قائمة المركز المالي,ar,rtl
ACC-RPT-03_income-statement,ACC-REPORTS,Did we make a profit?,ar,/Accounting/IncomeStatement,ChiefAccountant/admin,,result,ACC-RPT-03_income-statement.ar.png,1600x1000,2026-09-21T08:49:11.448Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,132976f9b733,123134,النظام المحاسبي - CrossBuy,قائمة الدخل,ar,rtl
ACC-RPT-04_cash-flow,ACC-REPORTS,Where did the cash go?,ar,/Accounting/CashFlow,ChiefAccountant/admin,,result,ACC-RPT-04_cash-flow.ar.png,1600x1000,2026-09-21T08:49:17.064Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,180daadefdd2,127393,النظام المحاسبي - CrossBuy,قائمة التدفقات النقدية,ar,rtl
ACC-RPT-05_ar-aging,ACC-REPORTS,"Who owes us, and for how long?",ar,/Accounting/ArAging,ChiefAccountant/admin,,result,ACC-RPT-05_ar-aging.ar.png,1600x1000,2026-09-21T08:49:20.649Z,True,8,True,True,table,DUP-02,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,017fe4c6b449,145260,النظام المحاسبي - CrossBuy,أعمار ديون العملاء,ar,rtl
ACC-RPT-06_ap-aging,ACC-REPORTS,"Whom do we owe, and for how long?",ar,/Accounting/ApAging,ChiefAccountant/admin,,result,ACC-RPT-06_ap-aging.ar.png,1600x1000,2026-09-21T08:49:23.631Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,9d968a1658b1,92212,النظام المحاسبي - CrossBuy,أعمار ديون الموردين,ar,rtl
ACC-RPT-07_journals,ACC-REPORTS,"What was posted, and when?",ar,/Accounting/Journals,ChiefAccountant/admin,,result,ACC-RPT-07_journals.ar.png,1600x1000,2026-09-21T08:49:27.501Z,True,8,True,True,table,DUP-01,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,6c83f90da256,174910,النظام المحاسبي - CrossBuy,القيود اليومية,ar,rtl
ACC-RPT-08_customer-statement,ACC-REPORTS,One customer’s account,ar,/Accounting/CustomerStatement,ChiefAccountant/admin,,result,ACC-RPT-08_customer-statement.ar.png,1600x1000,2026-09-21T08:49:30.377Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,214c514de11a,71267,النظام المحاسبي - CrossBuy,كشف حساب,ar,rtl
ACC-RPT-09_vendor-statement,ACC-REPORTS,One supplier’s account,ar,/Accounting/VendorStatement,ChiefAccountant/admin,,result,ACC-RPT-09_vendor-statement.ar.png,1600x1000,2026-09-21T08:49:33.418Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,87642d41f2e8,72349,النظام المحاسبي - CrossBuy,كشف حساب,ar,rtl
ACC-RPT-10_reports-center,ACC-REPORTS,the reporting platform catalogue,en,/Reports/Index,ChiefAccountant/admin,,catalogue,ACC-RPT-10_reports-center.en.png,1600x1000,2026-09-21T10:06:05.298Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,45dbb778b665,167478,Inventory System - CrossBuy,Reports Center,en,ltr
ACC-RPT-01_trial-balance,ACC-REPORTS,Do the books balance?,en,/Accounting/TrialBalance,ChiefAccountant/admin,,result,ACC-RPT-01_trial-balance.en.png,1600x1000,2026-09-21T08:48:17.901Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,a4dd5bd522be,139425,Accounting System - CrossBuy,Trial Balance,en,ltr
ACC-RPT-02_balance-sheet,ACC-REPORTS,What do we own and owe?,en,/Accounting/BalanceSheet,ChiefAccountant/admin,,result,ACC-RPT-02_balance-sheet.en.png,1600x1000,2026-09-21T08:48:22.374Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,0c740bf308ca,177167,Accounting System - CrossBuy,Balance Sheet,en,ltr
ACC-RPT-03_income-statement,ACC-REPORTS,Did we make a profit?,en,/Accounting/IncomeStatement,ChiefAccountant/admin,,result,ACC-RPT-03_income-statement.en.png,1600x1000,2026-09-21T08:48:26.851Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,02cc10c75385,150737,Accounting System - CrossBuy,Income Statement,en,ltr
ACC-RPT-04_cash-flow,ACC-REPORTS,Where did the cash go?,en,/Accounting/CashFlow,ChiefAccountant/admin,,result,ACC-RPT-04_cash-flow.en.png,1600x1000,2026-09-21T08:48:33.196Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,4e4ca76e6564,162010,Accounting System - CrossBuy,Cash Flow Statement,en,ltr
ACC-RPT-05_ar-aging,ACC-REPORTS,"Who owes us, and for how long?",en,/Accounting/ArAging,ChiefAccountant/admin,,result,ACC-RPT-05_ar-aging.en.png,1600x1000,2026-09-21T08:48:36.335Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,9ed1b38636cd,164900,Accounting System - CrossBuy,AR Aging,en,ltr
ACC-RPT-06_ap-aging,ACC-REPORTS,"Whom do we owe, and for how long?",en,/Accounting/ApAging,ChiefAccountant/admin,,result,ACC-RPT-06_ap-aging.en.png,1600x1000,2026-09-21T08:48:39.302Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,8226e3ae9118,108205,Accounting System - CrossBuy,AP Aging,en,ltr
ACC-RPT-07_journals,ACC-REPORTS,"What was posted, and when?",en,/Accounting/Journals,ChiefAccountant/admin,,result,ACC-RPT-07_journals.en.png,1600x1000,2026-09-21T08:48:43.861Z,True,8,True,True,table,,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,2baac24b7588,209093,Accounting System - CrossBuy,Journal Entries,en,ltr
ACC-RPT-08_customer-statement,ACC-REPORTS,One customer’s account,en,/Accounting/CustomerStatement,ChiefAccountant/admin,,result,ACC-RPT-08_customer-statement.en.png,1600x1000,2026-09-21T08:48:47.845Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,1a280f192e57,86666,Accounting System - CrossBuy,Account statement,en,ltr
ACC-RPT-09_vendor-statement,ACC-REPORTS,One supplier’s account,en,/Accounting/VendorStatement,ChiefAccountant/admin,,result,ACC-RPT-09_vendor-statement.en.png,1600x1000,2026-09-21T08:48:50.689Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,00ab8476179f,86560,Accounting System - CrossBuy,Account statement,en,ltr
ACC-P2P-03-01_purchase-return,ACC-P2P-03,1 purchase return posted,en,/Accounting/NewPurchaseReturn,ChiefAccountant/admin,PI 5073,after posting the debit note,ACC-P2P-03-01_purchase-return.en.png,1600x1000,2026-09-21T09:15:13.500Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,4ed4ae6678eb,120075,Accounting System - CrossBuy,New Purchase Return / Debit Note,en,ltr
ACC-O2C-03-01_sales-return,ACC-O2C-03,1 sales return posted,en,/Accounting/SalesReturns,ChiefAccountant/admin,SI 17613,after posting the credit note,ACC-O2C-03-01_sales-return.en.png,1600x1000,2026-09-21T09:15:20.564Z,True,8,True,True,(none set),,synthetic data on an isolated disposable database (CrossBuyAcctTest),runtime observed,True,e563e85a8aad,188099,Accounting System - CrossBuy,Sales Returns / Credit Notes,en,ltr
